Mean_Accuracy,Std Dev of Accuracy,Mean Macro F1-score,experiment,arch,lstm_layers,lr,dropout,batch_size,epochs
0.9909818436410053,0.0018190385343714976,0.983540375500396,1,[64],1,0.001,0.3,64,20
0.9899363481512788,0.0032427780823685234,0.9818228498239469,2,[128],1,0.001,0.3,64,20
0.9932040658632275,0.002207825873767066,0.9875991818385425,3,[128],2,0.0005,0.4,64,20
0.9930730053832985,0.001466131227202572,0.9872175459164042,4,[256],1,0.0001,0.5,32,25
0.9913741712665907,0.0028135894543718453,0.9840329877244278,5,[128],2,0.001,0.2,64,20
0.9909818436410053,0.0018190385343714976,0.9819622036430143,6,[64],3,0.01,0.1,128,15
0.9926811046648141,0.0019100128455002768,0.9864592452153994,7,[512],1,0.0001,0.4,32,30
0.9921579727035599,0.0021074367610634352,0.9853574465306847,8,[256],1,0.0005,0.3,64,25
0.9916355237936673,0.002121473134378462,0.9841121884308061,9,[128],1,0.001,0.5,64,25
0.9892824972357765,0.0029978102138356155,0.9807237923771239,10,[256],2,0.002,0.3,128,20
0.9911127333580939,0.0020052920963085905,0.9816720862143269,11,[64],4,0.001,0.2,64,20
