Mean_Accuracy,Std Dev of Accuracy,Mean Macro F1-score,experiment,arch,lstm_layers,lr,dropout,batch_size,epochs
0.9918968763207439,0.0033211097570816214,0.9858428792771724,1,[64],1,0.001,0.3,64,20
0.9932039804818075,0.002358074279109544,0.9878888737863291,2,[128],1,0.001,0.3,64,20
0.9925502149477253,0.0020492570830020073,0.9867698234057964,3,[128],2,0.0005,0.4,64,20
0.9933343579103753,0.0011970542216225718,0.9880394832625896,4,[256],1,0.0001,0.5,32,25
0.99137382974091,0.00181987841051515,0.984560116267639,5,[128],2,0.001,0.2,64,20
0.9915045486951584,0.0018009088871904048,0.9842576403762152,6,[64],3,0.01,0.1,128,15
0.9925503003291454,0.0016824076519017402,0.9864500077292252,7,[512],1,0.0001,0.4,32,30
0.9926811046648141,0.002161803823191004,0.9872600770507798,8,[256],1,0.0005,0.3,64,25
0.9921584849920808,0.0024772255925985306,0.9855424481694902,9,[128],1,0.001,0.5,64,25
0.991504890220839,0.0025119000121251425,0.985132717026661,10,[256],2,0.002,0.3,128,20
0.9917659866036551,0.001344342881032249,0.9845172504275326,11,[64],4,0.001,0.2,64,20
