Mean_Accuracy,Std Dev of Accuracy,Mean Macro F1-score,experiment,arch,lstm_layers,lr,dropout,batch_size,epochs
0.9942905870594307,0.0011269608070170669,0.9942904423945892,1,[64],1,0.001,0.3,64,20
0.9943973818133787,0.001461035204372121,0.9943972121826157,2,[128],1,0.001,0.3,64,20
0.9940238207954707,0.0015882622347851358,0.9940233847924498,3,[128],2,0.0005,0.4,64,20
0.9941305016805619,0.0011066059218495386,0.9941301515236246,4,[256],1,0.0001,0.5,32,25
0.9941838777071255,0.001161754251977359,0.9941834941336427,5,[128],2,0.001,0.2,64,20
0.9945573817906048,0.001476899283094591,0.994557151002998,6,[64],3,0.01,0.1,128,15
0.9941305016805619,0.000969447559964972,0.994130431432624,7,[512],1,0.0001,0.4,32,30
0.9940772252892482,0.0013952394801441303,0.9940768114327083,8,[256],1,0.0005,0.3,64,25
0.9946107720507753,0.0013221395235747991,0.9946103597280137,9,[128],1,0.001,0.5,64,25
0.9944507151391206,0.001300315665501358,0.9944503946892901,10,[256],2,0.002,0.3,128,20
0.9938637638838161,0.0015091033337061089,0.9938631574741328,11,[64],4,0.001,0.2,64,20
