Mean_Accuracy,Std Dev of Accuracy,Mean Macro F1-score,experiment,arch,lr,dropout,batch_size,epochs
0.9924198375191574,0.003052359248240486,0.9864444780736328,1,"[64, 32]",0.001,0.3,64,20
0.9925503003291454,0.0015775761811024538,0.9865266974686797,2,"[128, 64]",0.001,0.3,64,20
0.9925503003291454,0.001963604391715578,0.9864439482469521,3,"[128, 64]",0.0005,0.4,64,20
0.9921583996106607,0.0020639323753987625,0.9857431100224904,4,"[256, 128, 64]",0.0001,0.5,32,25
0.9921580580849803,0.001981664198019799,0.9859722539477124,5,"[128, 128]",0.001,0.2,64,20
0.9917660719850755,0.0017324336112110954,0.9845082857971335,6,"[64, 64]",0.01,0.1,128,15
0.9925502149477253,0.0018750884758438585,0.9865910962449294,7,"[512, 256, 128]",0.0001,0.4,32,30
0.9920275098935722,0.001997919849534624,0.9850630316043031,8,"[256, 128]",0.0005,0.3,64,25
0.9921581434664002,0.0010913776956186674,0.9853732782119333,9,"[128, 64, 32]",0.001,0.5,64,25
0.9905896867782602,0.0010596445859301475,0.9827066416241019,10,"[256, 64]",0.002,0.3,128,20
0.9926811046648141,0.0017218162706818094,0.9869323087931695,11,"[64, 32, 16]",0.001,0.2,64,20
