Mean_Accuracy,Std Dev of Accuracy,Mean Macro F1-score,experiment,arch,lr,dropout,batch_size,epochs
0.9935960519631323,0.0019974391440977647,0.9886648502272442,1,"[64, 32]",0.001,0.3,64,20
0.9924196667563173,0.0033468663047631093,0.98684122967618,2,"[128, 64]",0.001,0.3,64,20
0.9926810192833937,0.0022014720502549394,0.9871648623006916,3,"[128, 64]",0.0005,0.4,64,20
0.9937265147731204,0.0019643198338451353,0.9888774687881051,4,"[256, 128, 64]",0.0001,0.5,32,25
0.9925505564734058,0.0026636680227514575,0.9870836054836125,5,"[128, 128]",0.001,0.2,64,20
0.9918967909393238,0.0016822885056426919,0.9852763918776404,6,"[64, 64]",0.01,0.1,128,15
0.9921583996106607,0.0030636661616689023,0.9863405676746664,7,"[512, 256, 128]",0.0001,0.4,32,30
0.9935959665817122,0.002162268021073754,0.9887661115849943,8,"[256, 128]",0.0005,0.3,64,25
0.9930732615275591,0.002464446146060027,0.9873614264894941,9,"[128, 64, 32]",0.001,0.5,64,25
0.9912430254052417,0.002395923561761057,0.9844683551798994,10,"[256, 64]",0.002,0.3,128,20
0.9934655037717242,0.002611839365829007,0.9885361157140036,11,"[64, 32, 16]",0.001,0.2,64,20
