Mean_Accuracy,Std Dev of Accuracy,Mean Macro F1-score,experiment,arch,lr,dropout,batch_size,epochs
0.9942372252664745,0.0010209182558096569,0.9942366997408385,1,"[64, 32]",0.001,0.3,64,20
0.994717509870295,0.0019193961967501924,0.9947169782636293,2,"[128, 64]",0.001,0.3,64,20
0.9941838777071255,0.0010319519597524584,0.9941833712876132,3,"[128, 64]",0.0005,0.4,64,20
0.9939704590025146,0.0011641074673094845,0.9939696894149656,4,"[256, 128, 64]",0.0001,0.5,32,25
0.9951444611483732,0.0015030288812662906,0.9951441817104213,5,"[128, 128]",0.001,0.2,64,20
0.9956246603505509,0.0015051386298811443,0.995624210983792,6,"[64, 64]",0.01,0.1,128,15
0.9951977090724726,0.000892832933419522,0.9951974022300287,7,"[512, 256, 128]",0.0001,0.4,32,30
0.9956779652090788,0.0012329440571790583,0.995677607128477,8,"[256, 128]",0.0005,0.3,64,25
0.994557410257819,0.0010482655594468485,0.9945569778907393,9,"[128, 64, 32]",0.001,0.5,64,25
0.9956779367418648,0.0014652295289241492,0.9956772813528267,10,"[256, 64]",0.002,0.3,128,20
0.9947708431960368,0.0013026418157107223,0.9947704634660969,11,"[64, 32, 16]",0.001,0.2,64,20
